kms_driven,owner,age,power,brand,actual_price,predicted_price
30032.0,1,8.0,125.0,7.0,26675.0,22517.0
4750.0,1,9.0,150.0,6.0,35000.0,35100.0
29000.0,1,5.0,350.0,2.0,102500.0,108339.80000000002
13000.0,1,5.0,150.0,7.0,48000.0,50220.0
18465.0,1,12.0,150.0,4.0,18000.0,26509.89
20431.0,1,7.0,160.0,1.0,45000.0,48430.66666666667
87056.0,1,8.0,125.0,5.0,22000.0,22033.38
6900.0,1,5.0,390.0,10.0,180000.0,168140.0
7000.0,1,5.0,150.0,4.0,103000.0,81058.8
4411.0,1,2.0,350.0,2.0,169000.0,147631.5476190476
25049.0,1,8.0,110.0,6.0,40000.0,26690.0
32521.0,1,13.0,125.0,4.0,10005.0,18671.0
32116.0,1,8.0,150.0,7.0,32400.0,28305.0
9392.0,4,6.0,350.0,2.0,95000.0,112248.85333333332
3650.0,1,5.0,220.0,7.0,75000.0,60061.74999999999
